macro,category_leaf,brand,title,price_usd,parent_asin
Cell_Phones_and_Accessories,Adhesive Card Holders,uCOLOR,Two Pack Phone Card Holder uCOLOR Iridescent Silver PU Leather Wallet Pocket Credit Card I,,B07MPMXBRN
Cell_Phones_and_Accessories,Bumpers,Qtech,Qtech QT-1321 Unique Dazzling Diamond Bling Case for Huawei Pinnacle 2 M636 - 1 Pack - Ret,7.99,B00D120LNU
Cell_Phones_and_Accessories,Cell Phone Minutes,Tracfone,"TracFone $29.99 Basic Phone Plan, 120 Minutes, 90 Days [Physical Delivery]",29.99,B000LA2CUK
Cell_Phones_and_Accessories,Cell Phones and Subscriptions,,$55 Monthly Stored Value Card Subscription for Cricket Unlimited & 15GB Mobile Hotspot pla,,B07JLVPFXK
Cell_Phones_and_Accessories,Chargers & Power Adapters,Smingda,Smingda Car Charge Charge Power Adaptor Headphone Adapter Aux Adaptor ChargerAdapter Dongl,,B00TDN63AG
Cell_Phones_and_Accessories,Charging Stations,AEDILYS,"Galaxy Note 5 Desktop Charging Cradle,AEDILYS Desktop Dock Charger Cradle for Samsung Gala",,B017G2Q31E
Cell_Phones_and_Accessories,Designer Cases,Marc by Marc Jacobs,Marc by Marc Jacobs Adults Suck Neoprene 15-Inch Commuter Bag (M0003460),,B00HYUN952
Cell_Phones_and_Accessories,Dry Bags,Dekize,"Universal [Float] Waterproof Pouch, Dekize Cellphone Dry Bag Pouch for iPhone X, 8/7/7 Plu",,B07FDLQGC4
Cell_Phones_and_Accessories,FREE One-Day Shipping,Wilson Electronics,"Wilson Electronics, LLC - Slim Low Profile Antenna 800/1900 MHz, with SMA Male Connector",,B007I505AA
Cell_Phones_and_Accessories,"Maintenance, Upkeep & Repairs",Snugg,"iPhone 4 and 4S Case, Snugg Apple iPhone 4 and 4S Tan Suede Leather Pouch Case [Card Slot]",,B0091T9CKU
Cell_Phones_and_Accessories,Mounts,RAM MOUNTS,"RAM MOUNTS (RAM-HOL-AP16U Model Specific Cradle for The Apple iPhone 5C Without Case, Skin",16.49,B00HRBJ3Y4
Cell_Phones_and_Accessories,Phone Charms,Clayvision LLC,Clayvision Baseball Softball (Flat Back) Phone Charm Plug with Fuchsia Colored Crystal,,B00GOF59C4
Cell_Phones_and_Accessories,SIM Cards & Prepaid Minutes,LowerPriceUSA,Apple iPhone 3G / Apple iPhone 3GS White Sim Card Tray Holder,,B0041IERTC
